spots,legs,eyes,arms,colour_green,stim_id,danger_true,block,trial_in_block,trial_within_subject,agent_id,w1_true,w2_true,w3_true,w4_true,w5_true,c_true,log_c_true,bias_true,prob_cat1,sim_response,correct,performance
0,0,0,1,1,25,0,2,9,41,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46394313978816476,0,1,0.6097560975609756
1,1,0,0,0,4,0,2,10,42,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5028194963825142,1,0,0.5952380952380952
0,0,1,0,1,21,0,2,11,43,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5024347833704228,0,1,0.6046511627906976
0,0,0,1,0,9,0,2,12,44,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4644060938037,1,0,0.5909090909090909
1,1,1,1,1,32,1,2,13,45,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.532048950685818,0,0,0.5777777777777777
0,1,1,0,1,23,0,2,14,46,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5048899767501579,0,1,0.5869565217391305
1,0,1,0,1,22,1,2,15,47,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5316888080195566,0,0,0.574468085106383
1,0,0,0,0,2,0,2,16,48,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49841060262864245,0,1,0.5833333333333334
0,1,0,1,0,11,0,2,17,49,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4650156727414012,1,0,0.5714285714285714
1,0,0,1,1,26,0,2,18,50,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49812495579845256,0,1,0.58
1,0,1,1,1,30,1,2,19,51,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5311896642251088,1,1,0.5882352941176471
1,1,1,1,0,16,1,2,20,52,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5292206611369974,0,0,0.5769230769230769
1,1,0,1,0,12,0,2,21,53,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49749513600946854,1,0,0.5660377358490566
0,1,0,0,1,19,0,2,22,54,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.47037504216719084,1,0,0.5555555555555556
1,1,0,1,1,28,0,2,23,55,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49982083516529857,1,0,0.5454545454545454
0,0,0,0,0,1,0,2,24,56,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46562291957044355,0,1,0.5535714285714286
0,1,1,1,1,31,0,2,25,57,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5041144943917908,0,1,0.5614035087719298
0,0,1,1,1,29,0,2,26,58,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5018038198957065,1,0,0.5517241379310345
0,0,0,0,1,17,0,2,27,59,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4682439324071857,1,0,0.5423728813559322
0,1,1,1,0,15,0,2,28,60,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5001096453664815,1,0,0.5333333333333333
1,1,1,0,0,8,1,2,29,61,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.532637625333106,1,1,0.5409836065573771
0,1,1,0,0,7,0,2,30,62,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5023782865820982,1,0,0.532258064516129
1,0,1,1,0,14,1,2,31,63,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5297768910711842,0,0,0.5238095238095238
0,1,0,0,0,3,0,2,32,64,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46768889060253194,0,1,0.53125
0,1,1,0,1,23,0,3,1,65,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4991673608793959,1,0,0.5230769230769231
1,0,1,0,1,22,1,3,2,66,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5325961917971089,1,1,0.5303030303030303
0,0,0,1,1,25,0,3,3,67,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46755782212793806,0,1,0.5373134328358209
0,0,1,1,0,13,0,3,4,68,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.498454758675729,1,0,0.5294117647058824
0,1,1,1,1,31,0,3,5,69,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4972163548563828,1,0,0.5217391304347826
0,1,0,0,0,3,0,3,6,70,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4668272978698379,0,1,0.5285714285714286
0,0,1,1,1,29,0,3,7,71,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49817294742787466,1,0,0.5211267605633803
1,1,0,1,0,12,0,3,8,72,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4989836057396159,1,0,0.5138888888888888
1,1,1,1,0,16,1,3,9,73,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5300988758089926,0,0,0.5068493150684932
1,0,0,0,1,18,0,3,10,74,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5015152692207526,0,1,0.5135135135135135
0,0,1,0,1,21,0,3,11,75,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4984816602381219,0,1,0.52
